stock_code,mean_ret,std_ret,max_up,max_down
32,0.000709729782495847,0.03637714225750407,0.10299769408147585,-0.10136765888978272
36,-1.86163252292087e-05,0.02077321705886436,0.10362694300518127,-0.10328638497652587
430,0.0005737398773806766,0.027930273420137843,0.1008264462809918,-0.09849749582637723
505,0.00010588868061063552,0.02528364295833593,0.10180412371134029,-0.10116731517509725
532,0.0002145722709011094,0.021102050222706642,0.10236220472440927,-0.08254269449715368
543,0.0007202716775828982,0.02744679815757807,0.11815561959654164,-0.07223113964687
551,0.00024631207687441053,0.02329527870577859,0.10304449648711955,-0.1037277147487844
559,-0.00014224666915716298,0.017808073070218148,0.07794676806083656,-0.07678244972577697
566,-9.533030431262397e-05,0.024903261795347197,0.10021321961620466,-0.10032894736842113
592,-0.00027471616601826423,0.021624490447243166,0.09961685823754807,-0.07630522088353431
598,-0.0001226348031755569,0.013269039385742283,0.08924949290060868,-0.06794055201698523
600,0.00042698553102547815,0.029971111561933127,0.10755813953488369,-0.10380622837370246
612,-0.00034781977687331364,0.022178374415100368,0.10956175298804793,-0.10861423220973787
668,-0.00018666044357745185,0.023255923082957493,0.10028449502133707,-0.10019392372333558
752,0.0010044141486950523,0.02910517346000062,0.05121293800539073,-0.051150895140664954
753,0.0007090933283063044,0.026184962175148038,0.10379746835443049,-0.10191082802547757
758,-0.00022947320024155655,0.020323395654083892,0.1015625,-0.08986175115207362
762,-0.0008173491151118284,0.030979919760843626,0.10273665320771652,-0.10204081632653073
776,-0.0008446397019102846,0.021898129770866456,0.11228813559322037,-0.10545645330535147
791,-0.0001853387796411628,0.020674359470815515,0.10944206008583679,-0.08561020036429878
859,-0.00039319943985567884,0.020451684014665645,0.101010101010101,-0.0825852782764811
902,-0.0005726168358331644,0.0195678434562042,0.10469958358120168,-0.08052884615384615
917,-0.0001539814050202378,0.02533818086157512,0.10200364298724951,-0.10109622411693064
950,0.00023696481311497457,0.02630014706073838,0.1051546391752578,-0.10304054054054057
962,0.00047079242275427965,0.02727953916242522,0.10202286719437126,-0.10165745856353592
987,0.00015707336100479562,0.021738178902687585,0.11313868613138678,-0.0859872611464968
1203,-0.0005384754840765893,0.023412412473946,0.10604453870625674,-0.08237986270022879
1212,0.0004500950389944731,0.033041948242529956,0.10280373831775691,-0.10261569416498995
2014,0.0007606787018009007,0.023360459709660754,0.13472485768500975,-0.09935205183585316
2038,0.000179563840728755,0.02364946904963109,0.10190476190476194,-0.10142857142857142
2074,-0.0013435656853157392,0.026124551281838156,0.10154525386313473,-0.10126582278481011
2080,-0.0011335336441353823,0.02599359646281085,0.10705352676338165,-0.10616438356164382
2128,0.00045888056802686827,0.026058397957830166,0.1172839506172838,-0.11352821210061192
2163,-0.00028765337042885135,0.02460556739058998,0.10017421602787469,-0.09978150036416611
2168,0.0004269348203043346,0.031499431584654174,0.10144927536231862,-0.10017889087656517
2171,-0.0007890218159858556,0.023779758787156883,0.09701492537313428,-0.10784313725490191
2180,-0.0011706209227812189,0.025513146823708897,0.10019550342131,-0.10045757071547423
2191,-0.0017732860641388936,0.02636448738965352,0.11290322580645151,-0.11128775834658189
2201,-0.0010900529889307023,0.028442254253789948,0.10094212651413192,-0.10010427528675692
2202,-0.0012764264461278825,0.01845581128894933,0.06528497409326417,-0.08191126279863492
2214,-0.0008568763158352673,0.022316649136161215,0.101010101010101,-0.101923076923077
2228,0.000148972806915197,0.01732909427713112,0.12027491408934687,-0.07491856677524433
2231,0.0007093959984875349,0.034449327915292975,0.10067114093959728,-0.10027472527472536
2235,0.0013546473899680373,0.03864010434923585,0.10080645161290325,-0.1004566210045662
2245,-0.0018204117245387958,0.03001309953362748,0.10162601626016254,-0.10120481927710845
2253,-3.707128630242573e-05,0.03093222019215089,0.10035335689045932,-0.10023584905660388
2294,0.0006436020469181567,0.022927921334942005,0.10541516245487381,-0.07949790794979084
2303,0.0001976694196219535,0.022451486999776213,0.13414634146341475,-0.1287878787878789
2306,0.0015967954853738004,0.031825148120047865,0.10188679245283017,-0.1004784688995215
2320,0.00016173216889831356,0.020021923658110785,0.10515873015873023,-0.08742331288343552
2324,0.00025235721426969084,0.028895369953670747,0.10196078431372557,-0.10084626234132577
2326,-0.00258174717100648,0.029426649117331487,0.10077874484654159,-0.10074626865671643
2329,0.0012800718559479623,0.03287942812904994,0.1010526315789475,-0.10051107325383302
2345,0.0010366247455750495,0.030867058387948218,0.12473118279569895,-0.13005780346820817
2361,-0.0004391705651689711,0.022374267064312114,0.10749999999999993,-0.10204081632653061
2371,-5.382498942707914e-05,0.030593445671347443,0.10095810824584661,-0.1009803396367922
2378,5.5187079055996414e-05,0.023756151003181864,0.10526315789473695,-0.10482180293501053
2394,0.0004843217238342603,0.0235701198724119,0.11472868217054266,-0.11415525114155256
2407,-0.0010751283808230437,0.02707479228981249,0.1046277665995976,-0.1038858049167326
2414,-0.0009436292961118863,0.021661618242389533,0.10202117420596712,-0.09584086799276681
2418,-0.0004005848644058147,0.02509432060314733,0.10163934426229515,-0.09642857142857142
2428,0.00038630018637649693,0.026985254682745544,0.10085470085470094,-0.10018903591682427
2448,0.00023929893646213701,0.02296192172056071,0.106951871657754,-0.1018062397372742
2466,-0.0007064095929863104,0.030930113733303424,0.10788231020704675,-0.10619469026548678
2480,-0.0003626121071954876,0.027093369274898863,0.10082304526748964,-0.10043668122270744
2484,-0.00047943482430688777,0.03033684020786454,0.10526315789473695,-0.10298572046733012
2497,-0.0012068732031341066,0.024592361353230768,0.10247349823321561,-0.10217065868263475
2532,-0.0001263630787521615,0.0308350162083806,0.12072072072072082,-0.10606060606060619
2533,0.00045996355735884644,0.027540353263803656,0.12115732368896914,-0.125
